category;name;rus;eng
talent_descr;flinss_c1;Базовый откат особого элементального навыка Шторм северных копий сокращается до 4 сек. Кроме того, когда персонажи вашего отряда активируют реакцию electro{Лунный заряд}, name{Флинс} восстанавливает 8 ед. энергии. Этот эффект может возникнуть один раз в 5,5 сек.;The base CD of Northern Spear Storm is reduced to 4s. Additionally, when your party members trigger electro{Lunar-Charged}, name{Flinss} restores 8 Energy. This effect can occur once every 5.5s.
talent_name;flinss_c2;Стена дьявола;Devil's Wall
talent_descr;flinss_c2;На 6 сек. после применения особого элементального навыка Шторм северных копий следующая обычная атака name{Флинса}, поражая врага, наносит дополнительный electro{Электро} урон по площади, равный 50% от силы атаки name{Флинса}. Такой урон считается уроном реакции electro{Лунный заряд}.<p>name{Лунное знамение - Высшее сияние:} когда name{Флинс} на поле, после того как его electro{Электро} атаки поражают врага, electro{Электро} сопротивление этого врага снижается на 25% на 7 сек.</p>;For 6s after using Northern Spear Storm, name{Flinss}'s next Normal Attack that hits an enemy deals additional electro{Electro} AoE DMG equal to 50% of name{Flinss}'s ATK. This DMG counts as electro{Lunar-Charged} reaction DMG.<p>name{Moonsign - Supreme Radiance:} when name{Flinss} is on the field, after his electro{Electro} attacks hit an enemy, that enemy's electro{Electro} RES is reduced by 25% for 7s.</p>
talent_name;flinss_c3;Путник в ночи;Night Wanderer
talent_descr;flinss_c3;Увеличивает уровень навыка skill{burst:Древний ритуал: Наступает ночь} на 3. Макс. уровень: 15.;Increases the Level of skill{burst:Ancient Ritual: Night Falls} by 3. Max Level: 15.
talent_name;flinss_c4;Ночь на Лысой горе;Night on Bald Mountain
talent_descr;flinss_c4;Сила атаки name{Флинса} повышается на 20%. Кроме того, его талант возвышения skill{skill:Шепчущее пламя} получает усиление: мастерство стихий name{Флинса} повышается на 10% от его силы атаки. Полученное таким образом увеличение может составлять до 220 ед.;name{Flinss}'s ATK increases by 20%. Additionally, his skill{skill:Whispering Flame} Ascension Talent is enhanced: name{Flinss}'s Elemental Mastery increases by 10% of his ATK. Max increase is 220.
talent_name;flinss_c5;Тень изгнанника;Exile's Shadow
talent_descr;flinss_c5;Увеличивает уровень навыка skill{skill:Древний обряд: Тайный свет} на 3. Макс. уровень: 15.;Increases the Level of skill{skill:Ancient Rite: Secret Light} by 3. Max Level: 15.
talent_name;flinss_c6;Песни и пляски смерти;Songs and Dances of Death
talent_descr;flinss_c6;Урон, который наносит electro{Лунный заряд} name{Флинса} врагам, возвышается на 35%.<p>name{Лунное знамение - Высшее сияние:} урон electro{Лунного заряда} всех членов отряда поблизости возвышается на 10%.</p>;DMG dealt by name{Flinss}'s electro{Lunar-Charged} to enemies is increased by 35%.<p>name{Moonsign - Supreme Radiance:} electro{Lunar-Charged} DMG of all nearby party members is increased by 10%.</p>

