category;name;rus;eng
talent_descr;yagoda_cunning_plan;name{Ягода} совершает рывок по направлению к противнику и при соприкосновении с ним входит в состояние Преследующей тени. В этом состоянии name{Ягода} постоянно перемещается на высокой скорости. Если поблизости есть враги с эффектами pyro{Пиро}, hydro{Гидро}, electro{Электро} или cryo{Крио}, name{Ягода} украдкой настраивает свою Секретную буль-буль-фляжку на этот элемент и постепенно наполняет её. Когда время действия навыка завершается или он активируется повторно, name{Ягода} опустошает Секретную буль-буль-фляжку и один раз наносит anemo{Анемо} урон врагам поблизости. Когда Секретная буль-буль-фляжка становится полной, name{Ягода} также опустошает её, покидает состояние Преследующей тени и один раз наносит повышенный anemo{Анемо} урон врагам поблизости. Если во время рывка name{Ягода} не входит в контакт с врагом, то она выбрасывает дымовую бомбу на исходной позиции, один раз нанося anemo{Анемо} урон врагам поблизости.;name{Yagoda} dashes toward an enemy and upon contact enters the Stalking Shadow state. In this state, name{Yagoda} constantly moves at high speed. If there are enemies nearby with pyro{Pyro}, hydro{Hydro}, electro{Electro}, or cryo{Cryo} effects, name{Yagoda} secretly tunes her Secret Flask to that element and gradually fills it. When the skill duration ends or is reactivated, name{Yagoda} empties the Secret Flask and deals anemo{Anemo} DMG to nearby enemies once. When the Secret Flask becomes full, name{Yagoda} also empties it, leaves the Stalking Shadow state, and deals increased anemo{Anemo} DMG to nearby enemies once. If name{Yagoda} does not contact an enemy during the dash, she throws a smoke bomb at the original position, dealing anemo{Anemo} DMG to nearby enemies once.
talent_name;yagoda_aces_sleeve;Тузы в рукаве: Семь инструментов охотника;Aces Up Sleeve: Hunter's Seven Tools
talent_descr;yagoda_aces_sleeve;Пора задействовать припрятанные тузы! name{Ягода} достаёт два Персональных котординатора помощи и один раз наносит anemo{Анемо} урон врагам поблизости. Персональные котординаторы помощи периодически атакуют врагов поблизости и исцеляют активного персонажа вашего отряда. Персонаж с наименьшим HP в отряде получает дополнительное исцеление.;Time to use the hidden aces! name{Yagoda} deploys two Personal Cat-ordinators and deals anemo{Anemo} DMG to nearby enemies once. Personal Cat-ordinators periodically attack nearby enemies and heal the active character in your party. The character with the lowest HP in the party receives additional healing.

talent_name;yagoda_moon_blessing;Дар лунного знамения: Бегом по карнизам;Moonsign Benediction: Running on Ledges
talent_descr;yagoda_moon_blessing;Когда name{Ягода} в отряде, уровень Лунного знамения отряда повышается на 1.;When name{Yagoda} is in the party, the party's Moonsign level increases by 1.
talent_name;yagoda_payment_plan;Остроумный план истребования оплаты;Witty Payment Collection Plan
talent_descr;yagoda_payment_plan;Если в отряде есть хотя бы один персонаж pyro{Пиро}, hydro{Гидро}, electro{Электро} или cryo{Крио}, то в зависимости от количества персонажей каждого соответствующего элемента Персональные котординаторы помощи взрыва стихии skill{burst:Тузы в рукаве: Семь инструментов охотника} получают усиления. pyro{Пиро}: Персональные котординаторы помощи наносят %{text_percent_pyro} от своего изначального урона. hydro{Гидро}: Персональные котординаторы помощи предоставляют %{text_percent_hydro} от своего изначального значения исцеления. electro{Электро}: количество Персональных котординаторов помощи увеличивается на %{text_value_electro}. cryo{Крио}: интервал между атаками Персональных котординаторов помощи сокращается на %{text_percent_cryo}.;If there is at least one pyro{Pyro}, hydro{Hydro}, electro{Electro}, or cryo{Cryo} character in the party, the Personal Cat-ordinators from skill{burst:Aces Up Sleeve: Hunter's Seven Tools} receive buffs based on the number of characters of each corresponding element. pyro{Pyro}: Personal Cat-ordinators deal %{text_percent_pyro} of their original DMG. hydro{Hydro}: Personal Cat-ordinators provide %{text_percent_hydro} of their original healing. electro{Electro}: Number of Personal Cat-ordinators increases by %{text_value_electro}. cryo{Cryo}: Attack interval of Personal Cat-ordinators is reduced by %{text_percent_cryo}.
talent_name;yagoda_sweet_reward;Сладкая ягодная награда;Sweet Berry Reward
talent_descr;yagoda_sweet_reward;Когда Персональные котординаторы помощи взрыва стихии skill{burst:Тузы в рукаве: Семь инструментов охотника} исцеляют активного персонажа вашего отряда, а его HP превышает %{text_percent_hp}, то name{мастерство стихий} этого персонажа повышается на %{text_value_mastery} ед. на %{text_sec} сек.;When the Personal Cat-ordinators from skill{burst:Aces Up Sleeve: Hunter's Seven Tools} heal the active character in your party and their HP exceeds %{text_percent_hp}, that character's name{Elemental Mastery} increases by %{text_value_mastery} for %{text_sec}s.
talent_name;yagoda_alley_resourcefulness;Находчивость переулков;Alley Resourcefulness

talent_name;yagoda_c1;Ещё фляжку!;Another Flask!
talent_descr;yagoda_c1;Когда Пушистый котошарик, выпущенный Секретной буль-буль-фляжкой элементального навыка skill{skill:Хитроумный план: Раздел добычи} поражает противника, он с шансом %{text_percent} отскакивает один раз и наносит противнику поблизости урон соответствующего элемента.;When the Catball fired by the Secret Flask from skill{skill:Cunning Plan: Loot Division} hits an enemy, it has a %{text_percent} chance to bounce once and deal corresponding elemental DMG to a nearby enemy.
talent_name;yagoda_c2;Импровизация плута;Rogue's Improvisation
talent_descr;yagoda_c2;Лунное знамение - Высшее сияние: в таланте возвышения skill{skill:Остроумный план истребования оплаты} name{Ягода} становится способна вести тайные записи не только об элементе с самым большим количеством персонажей, но и об элементе со вторым наибольшим количеством персонажей среди остальных, что позволяет одновременно активировать действие максимум двух элементальных эффектов.;Moonsign - Supreme Radiance: In the skill{skill:Witty Payment Collection Plan} Ascension Talent, name{Yagoda} can now keep secret records not only of the element with the most characters, but also of the element with the second most characters, allowing up to two elemental effects to be activated simultaneously.
talent_name;yagoda_c3;Отчаянная авантюра;Desperate Adventure
talent_name;yagoda_c4;Дикая ягода посреди пыли;Wild Berry Amidst Dust
talent_descr;yagoda_c4;Когда Персональные котординаторы помощи взрыва стихии skill{burst:Тузы в рукаве: Семь инструментов охотника} изменяют свой элемент, name{Ягода} восстанавливает %{text_energy} ед. энергии.;When the Personal Cat-ordinators from skill{burst:Aces Up Sleeve: Hunter's Seven Tools} change their element, name{Yagoda} restores %{text_energy} Energy.
talent_name;yagoda_c5;Величайшее сокровище;Greatest Treasure
talent_name;yagoda_c6;Крупица удачи;Grain of Luck
talent_descr;yagoda_c6;Лунное знамение - Высшее сияние: после того как Секретная буль-буль-фляжка элементального навыка skill{skill:Хитроумный план: Раздел добычи} заполняется, на %{text_sec} сек. name{шанс крит. попадания} персонажей Лунного знамения поблизости повышается на %{text_crit_rate}, а их name{крит. урон} - на %{text_crit_dmg}.;Moonsign - Supreme Radiance: After the Secret Flask from skill{skill:Cunning Plan: Loot Division} fills up, for %{text_sec}s nearby Moonsign characters' name{CRIT Rate} increases by %{text_crit_rate} and their name{CRIT DMG} by %{text_crit_dmg}.

